,TC Index,TC Variables,TC Value
70,"(0, 0, 5)","('animal1', 'animal1', 'animal6')",0.0021719366777688265
119,"(0, 9, 9)","('animal1', 'animal10', 'animal10')",0.0021680155768990517
63,"(8, 9)","('animal9', 'animal10')",0.002025803318247199
77,"(0, 1, 3)","('animal1', 'animal2', 'animal4')",0.0018906105542555451
69,"(0, 0, 4)","('animal1', 'animal1', 'animal5')",0.0018744631670415401
121,"(1, 1, 2)","('animal2', 'animal2', 'animal3')",0.0017833519959822297
206,"(3, 3, 8)","('animal4', 'animal4', 'animal9')",0.0017668106593191624
205,"(3, 3, 7)","('animal4', 'animal4', 'animal8')",0.0017529361648485065
201,"(3, 3, 3)","('animal4', 'animal4', 'animal4')",0.001683520502410829
59,"(7, 7)","('animal8', 'animal8')",0.0016810671659186482
207,"(3, 3, 9)","('animal4', 'animal4', 'animal10')",0.0016777005512267351
64,"(9, 9)","('animal10', 'animal10')",0.0016556940972805023
29,"(2, 2)","('animal3', 'animal3')",0.0016412679105997086
62,"(8, 8)","('animal9', 'animal9')",0.0016401022439822555
114,"(0, 7, 7)","('animal1', 'animal8', 'animal8')",0.0016300382558256388
58,"(6, 9)","('animal7', 'animal10')",0.0015655827010050416
128,"(1, 1, 9)","('animal2', 'animal2', 'animal10')",0.0015169534599408507
173,"(2, 3, 3)","('animal3', 'animal4', 'animal4')",0.0014882079558447003
56,"(6, 7)","('animal7', 'animal8')",0.0014611771330237389
31,"(2, 4)","('animal3', 'animal5')",0.0012702160747721791
47,"(4, 7)","('animal5', 'animal8')",0.0012470866786316037
49,"(4, 9)","('animal5', 'animal10')",0.0012150212423875928
48,"(4, 8)","('animal5', 'animal9')",0.001197555335238576
84,"(0, 2, 2)","('animal1', 'animal3', 'animal3')",0.0011564837768673897
124,"(1, 1, 5)","('animal2', 'animal2', 'animal6')",0.0011522440472617745
117,"(0, 8, 8)","('animal1', 'animal9', 'animal9')",0.0011436757631599903
162,"(1, 8, 8)","('animal2', 'animal9', 'animal9')",0.0011407670099288225
52,"(5, 7)","('animal6', 'animal8')",0.0011382508091628551
33,"(2, 6)","('animal3', 'animal7')",0.0011155694955959916
57,"(6, 8)","('animal7', 'animal9')",0.0011075249640271068
53,"(5, 8)","('animal6', 'animal9')",0.0010969687718898058
204,"(3, 3, 6)","('animal4', 'animal4', 'animal7')",0.0010897491592913866
54,"(5, 9)","('animal6', 'animal10')",0.00101936305873096
125,"(1, 1, 6)","('animal2', 'animal2', 'animal7')",0.0009970881510525942
228,"(3, 9, 9)","('animal4', 'animal10', 'animal10')",0.0009787763701751828
32,"(2, 5)","('animal3', 'animal6')",0.0009418136905878782
82,"(0, 1, 8)","('animal1', 'animal2', 'animal9')",0.0009262833627872169
98,"(0, 3, 9)","('animal1', 'animal4', 'animal10')",0.0009188989643007517
96,"(0, 3, 7)","('animal1', 'animal4', 'animal8')",0.0008764289668761194
226,"(3, 8, 8)","('animal4', 'animal9', 'animal9')",0.0008752953144721687
159,"(1, 7, 7)","('animal2', 'animal8', 'animal8')",0.000857688020914793
223,"(3, 7, 7)","('animal4', 'animal8', 'animal8')",0.0008559958660043776
81,"(0, 1, 7)","('animal1', 'animal2', 'animal8')",0.0008516396046616137
123,"(1, 1, 4)","('animal2', 'animal2', 'animal5')",0.0008497475646436214
110,"(0, 6, 6)","('animal1', 'animal7', 'animal7')",0.0008110117632895708
203,"(3, 3, 5)","('animal4', 'animal4', 'animal6')",0.0007747458294034004
97,"(0, 3, 8)","('animal1', 'animal4', 'animal9')",0.0007271922077052295
83,"(0, 1, 9)","('animal1', 'animal2', 'animal10')",0.0006987056112848222
142,"(1, 3, 8)","('animal2', 'animal4', 'animal9')",0.0006971379043534398
76,"(0, 1, 2)","('animal1', 'animal2', 'animal3')",0.0006965041975490749
85,"(0, 2, 3)","('animal1', 'animal3', 'animal4')",0.0006899645086377859
129,"(1, 2, 2)","('animal2', 'animal3', 'animal3')",0.0006898639257997274
166,"(2, 2, 3)","('animal3', 'animal3', 'animal4')",0.000683829712215811
202,"(3, 3, 4)","('animal4', 'animal4', 'animal5')",0.0006534065469168127
164,"(1, 9, 9)","('animal2', 'animal10', 'animal10')",0.0006302143447101116
46,"(4, 6)","('animal5', 'animal7')",0.0006031139637343585
280,"(7, 9, 9)","('animal8', 'animal10', 'animal10')",0.0005882265977561474
95,"(0, 3, 6)","('animal1', 'animal4', 'animal7')",0.0005567607586272061
141,"(1, 3, 7)","('animal2', 'animal4', 'animal8')",0.000546887400560081
51,"(5, 6)","('animal6', 'animal7')",0.0005437656654976308
55,"(6, 6)","('animal7', 'animal7')",0.0005350320716388524
116,"(0, 7, 9)","('animal1', 'animal8', 'animal10')",0.0005342374206520617
45,"(4, 5)","('animal5', 'animal6')",0.0005130597273819149
277,"(7, 7, 9)","('animal8', 'animal8', 'animal10')",0.0005044073332101107
274,"(6, 9, 9)","('animal7', 'animal10', 'animal10')",0.00044392020208761096
130,"(1, 2, 3)","('animal2', 'animal3', 'animal4')",0.000433566136052832
44,"(4, 4)","('animal5', 'animal5')",0.00041748385410755873
79,"(0, 1, 5)","('animal1', 'animal2', 'animal6')",0.00041511261952109635
80,"(0, 1, 6)","('animal1', 'animal2', 'animal7')",0.0004124419647268951
200,"(2, 9, 9)","('animal3', 'animal10', 'animal10')",0.0004071866278536618
219,"(3, 6, 6)","('animal4', 'animal7', 'animal7')",0.0004040862258989364
113,"(0, 6, 9)","('animal1', 'animal7', 'animal10')",0.00038441800279542804
143,"(1, 3, 9)","('animal2', 'animal4', 'animal10')",0.00038375394069589674
94,"(0, 3, 5)","('animal1', 'animal4', 'animal6')",0.00037487613735720515
91,"(0, 2, 9)","('animal1', 'animal3', 'animal10')",0.00037289276951923966
278,"(7, 8, 8)","('animal8', 'animal9', 'animal9')",0.000366414082236588
105,"(0, 5, 5)","('animal1', 'animal6', 'animal6')",0.0003585712402127683
276,"(7, 7, 8)","('animal8', 'animal8', 'animal9')",0.0003552196722012013
172,"(2, 2, 9)","('animal3', 'animal3', 'animal10')",0.0003458026621956378
50,"(5, 5)","('animal6', 'animal6')",0.0003382349677849561
115,"(0, 7, 8)","('animal1', 'animal8', 'animal9')",0.0003333576023578644
89,"(0, 2, 7)","('animal1', 'animal3', 'animal8')",0.0003262829268351197
78,"(0, 1, 4)","('animal1', 'animal2', 'animal5')",0.00032233993988484144
93,"(0, 3, 4)","('animal1', 'animal4', 'animal5')",0.00032044146792031825
195,"(2, 7, 7)","('animal3', 'animal8', 'animal8')",0.0003101784095633775
111,"(0, 6, 7)","('animal1', 'animal7', 'animal8')",0.00030046733445487916
269,"(6, 7, 7)","('animal7', 'animal8', 'animal8')",0.00028850362286902964
170,"(2, 2, 7)","('animal3', 'animal3', 'animal8')",0.0002879032399505377
268,"(6, 6, 9)","('animal7', 'animal7', 'animal10')",0.0002872657496482134
160,"(1, 7, 8)","('animal2', 'animal8', 'animal9')",0.0002856213541235775
284,"(9, 9, 9)","('animal10', 'animal10', 'animal10')",0.00028488191310316324
99,"(0, 4, 4)","('animal1', 'animal5', 'animal5')",0.00028140400536358356
155,"(1, 6, 6)","('animal2', 'animal7', 'animal7')",0.0002707828243728727
139,"(1, 3, 5)","('animal2', 'animal4', 'animal6')",0.0002637204306665808
140,"(1, 3, 6)","('animal2', 'animal4', 'animal7')",0.00026232903474010527
198,"(2, 8, 8)","('animal3', 'animal9', 'animal9')",0.0002619846200104803
118,"(0, 8, 9)","('animal1', 'animal9', 'animal10')",0.000254131737165153
90,"(0, 2, 8)","('animal1', 'animal3', 'animal9')",0.0002505849115550518
171,"(2, 2, 8)","('animal3', 'animal3', 'animal9')",0.0002498519606888294
225,"(3, 7, 9)","('animal4', 'animal8', 'animal10')",0.00024857494281604886
150,"(1, 5, 5)","('animal2', 'animal6', 'animal6')",0.0002453194174449891
283,"(8, 9, 9)","('animal9', 'animal10', 'animal10')",0.00023454682377632707
282,"(8, 8, 9)","('animal9', 'animal9', 'animal10')",0.00022160919615998864
224,"(3, 7, 8)","('animal4', 'animal8', 'animal9')",0.00022096202883403748
266,"(6, 6, 7)","('animal7', 'animal7', 'animal8')",0.00021678581833839417
138,"(1, 3, 4)","('animal2', 'animal4', 'animal5')",0.00021438623662106693
135,"(1, 2, 8)","('animal2', 'animal3', 'animal9')",0.0002126314939232543
88,"(0, 2, 6)","('animal1', 'animal3', 'animal7')",0.0002081497950712219
161,"(1, 7, 9)","('animal2', 'animal8', 'animal10')",0.0001981094537768513
249,"(4, 9, 9)","('animal5', 'animal10', 'animal10')",0.00019640418759081513
109,"(0, 5, 9)","('animal1', 'animal6', 'animal10')",0.0001951577578438446
214,"(3, 5, 5)","('animal4', 'animal6', 'animal6')",0.00019460369367152452
275,"(7, 7, 7)","('animal8', 'animal8', 'animal8')",0.00019330999930389225
179,"(2, 3, 9)","('animal3', 'animal4', 'animal10')",0.00019184996199328452
264,"(5, 9, 9)","('animal6', 'animal10', 'animal10')",0.00019052454445045441
134,"(1, 2, 7)","('animal2', 'animal3', 'animal8')",0.0001902833755593747
107,"(0, 5, 7)","('animal1', 'animal6', 'animal8')",0.00018629063561093062
104,"(0, 4, 9)","('animal1', 'animal5', 'animal10')",0.00018395214283373207
222,"(3, 6, 9)","('animal4', 'animal7', 'animal10')",0.00018132281547877938
177,"(2, 3, 7)","('animal3', 'animal4', 'animal8')",0.00018075649859383702
163,"(1, 8, 9)","('animal2', 'animal9', 'animal10')",0.00017754807777237147
169,"(2, 2, 6)","('animal3', 'animal3', 'animal7')",0.00017550656048115343
259,"(5, 7, 7)","('animal6', 'animal8', 'animal8')",0.00017243986076209694
178,"(2, 3, 8)","('animal3', 'animal4', 'animal9')",0.00016715438687242568
281,"(8, 8, 8)","('animal9', 'animal9', 'animal9')",0.00016396635328419507
165,"(2, 2, 2)","('animal3', 'animal3', 'animal3')",0.00015970900130923837
102,"(0, 4, 7)","('animal1', 'animal5', 'animal8')",0.00015969011292327195
262,"(5, 8, 8)","('animal6', 'animal9', 'animal9')",0.00015851912030484527
136,"(1, 2, 9)","('animal2', 'animal3', 'animal10')",0.00015800206165295094
144,"(1, 4, 4)","('animal2', 'animal5', 'animal5')",0.00015553417324554175
191,"(2, 6, 6)","('animal3', 'animal7', 'animal7')",0.0001548345317132771
208,"(3, 4, 4)","('animal4', 'animal5', 'animal5')",0.00015347822045441717
220,"(3, 6, 7)","('animal4', 'animal7', 'animal8')",0.0001510750880697742
112,"(0, 6, 8)","('animal1', 'animal7', 'animal9')",0.00015011470532044768
272,"(6, 8, 8)","('animal7', 'animal9', 'animal9')",0.00015000348503235728
244,"(4, 7, 7)","('animal5', 'animal8', 'animal8')",0.0001488507114117965
227,"(3, 8, 9)","('animal4', 'animal9', 'animal10')",0.00014836847549304366
108,"(0, 5, 8)","('animal1', 'animal6', 'animal9')",0.0001454488083254546
87,"(0, 2, 5)","('animal1', 'animal3', 'animal6')",0.00014011152961757034
168,"(2, 2, 5)","('animal3', 'animal3', 'animal6')",0.00013828712690155953
153,"(1, 5, 8)","('animal2', 'animal6', 'animal9')",0.00013413975830189884
167,"(2, 2, 4)","('animal3', 'animal3', 'animal5')",0.00013143432443030179
247,"(4, 8, 8)","('animal5', 'animal9', 'animal9')",0.0001306021586060524
86,"(0, 2, 4)","('animal1', 'animal3', 'animal5')",0.00012725508713629097
103,"(0, 4, 8)","('animal1', 'animal5', 'animal9')",0.0001246120809810236
157,"(1, 6, 8)","('animal2', 'animal7', 'animal9')",0.0001187602974823676
156,"(1, 6, 7)","('animal2', 'animal7', 'animal8')",0.00011575436656130478
176,"(2, 3, 6)","('animal3', 'animal4', 'animal7')",0.00011297425953671336
152,"(1, 5, 7)","('animal2', 'animal6', 'animal8')",0.00011130207712994888
106,"(0, 5, 6)","('animal1', 'animal6', 'animal7')",0.00011053889465983957
158,"(1, 6, 9)","('animal2', 'animal7', 'animal10')",0.00010471494897501543
148,"(1, 4, 8)","('animal2', 'animal5', 'animal9')",0.0001042953081196174
271,"(6, 7, 9)","('animal7', 'animal8', 'animal10')",0.00010402843327028677
221,"(3, 6, 8)","('animal4', 'animal7', 'animal9')",0.00010098209895659238
216,"(3, 5, 7)","('animal4', 'animal6', 'animal8')",9.903018508339301e-05
217,"(3, 5, 8)","('animal4', 'animal6', 'animal9')",9.88032843451947e-05
101,"(0, 4, 6)","('animal1', 'animal5', 'animal7')",9.851368668023497e-05
197,"(2, 7, 9)","('animal3', 'animal8', 'animal10')",9.719794616103172e-05
267,"(6, 6, 8)","('animal7', 'animal7', 'animal9')",9.672371379565448e-05
132,"(1, 2, 5)","('animal2', 'animal3', 'animal6')",9.47324006119743e-05
218,"(3, 5, 9)","('animal4', 'animal6', 'animal10')",9.371310443384573e-05
252,"(5, 5, 7)","('animal6', 'animal6', 'animal8')",9.048778156284243e-05
147,"(1, 4, 7)","('animal2', 'animal5', 'animal8')",8.962440915638581e-05
254,"(5, 5, 9)","('animal6', 'animal6', 'animal10')",8.853369217831641e-05
154,"(1, 5, 9)","('animal2', 'animal6', 'animal10')",8.842419629218057e-05
133,"(1, 2, 6)","('animal2', 'animal3', 'animal7')",8.778827032074332e-05
211,"(3, 4, 7)","('animal4', 'animal5', 'animal8')",8.604146569268778e-05
213,"(3, 4, 9)","('animal4', 'animal5', 'animal10')",8.599332795711234e-05
212,"(3, 4, 8)","('animal4', 'animal5', 'animal9')",8.532236097380519e-05
131,"(1, 2, 4)","('animal2', 'animal3', 'animal5')",8.374224853469059e-05
253,"(5, 5, 8)","('animal6', 'animal6', 'animal9')",8.282953058369458e-05
234,"(4, 4, 9)","('animal5', 'animal5', 'animal10')",8.135842654155567e-05
175,"(2, 3, 5)","('animal3', 'animal4', 'animal6')",7.860308687668294e-05
279,"(7, 8, 9)","('animal8', 'animal9', 'animal10')",7.739355351077393e-05
174,"(2, 3, 4)","('animal3', 'animal4', 'animal5')",7.66497032600455e-05
265,"(6, 6, 6)","('animal7', 'animal7', 'animal7')",7.658626418560743e-05
186,"(2, 5, 5)","('animal3', 'animal6', 'animal6')",7.375682616839185e-05
196,"(2, 7, 8)","('animal3', 'animal8', 'animal9')",7.330720109166577e-05
255,"(5, 6, 6)","('animal6', 'animal7', 'animal7')",7.305457256734371e-05
149,"(1, 4, 9)","('animal2', 'animal5', 'animal10')",7.175774226197973e-05
194,"(2, 6, 9)","('animal3', 'animal7', 'animal10')",7.129000732675195e-05
232,"(4, 4, 7)","('animal5', 'animal5', 'animal8')",7.045832899166271e-05
240,"(4, 6, 6)","('animal5', 'animal7', 'animal7')",6.829602352809161e-05
100,"(0, 4, 5)","('animal1', 'animal5', 'animal6')",6.740124808857217e-05
180,"(2, 4, 4)","('animal3', 'animal5', 'animal5')",6.256980122998357e-05
233,"(4, 4, 8)","('animal5', 'animal5', 'animal9')",6.15736935287714e-05
215,"(3, 5, 6)","('animal4', 'animal6', 'animal7')",5.9574271290330216e-05
151,"(1, 5, 6)","('animal2', 'animal6', 'animal7')",5.5875785619718954e-05
199,"(2, 8, 9)","('animal3', 'animal9', 'animal10')",5.586388579104096e-05
192,"(2, 6, 7)","('animal3', 'animal7', 'animal8')",5.554992094403133e-05
251,"(5, 5, 6)","('animal6', 'animal6', 'animal7')",5.1781873480649665e-05
261,"(5, 7, 9)","('animal6', 'animal8', 'animal10')",5.1028218877036124e-05
210,"(3, 4, 6)","('animal4', 'animal5', 'animal7')",4.943304156768136e-05
246,"(4, 7, 9)","('animal5', 'animal8', 'animal10')",4.7126457502599806e-05
270,"(6, 7, 8)","('animal7', 'animal8', 'animal9')",4.597851147991605e-05
145,"(1, 4, 5)","('animal2', 'animal5', 'animal6')",4.270668068784289e-05
231,"(4, 4, 6)","('animal5', 'animal5', 'animal7')",4.22664379584603e-05
260,"(5, 7, 8)","('animal6', 'animal8', 'animal9')",4.1423030779697e-05
146,"(1, 4, 6)","('animal2', 'animal5', 'animal7')",4.138262738706544e-05
273,"(6, 8, 9)","('animal7', 'animal9', 'animal10')",3.913013279088773e-05
190,"(2, 5, 9)","('animal3', 'animal6', 'animal10')",3.729105810634792e-05
209,"(3, 4, 5)","('animal4', 'animal5', 'animal6')",3.713535261340439e-05
245,"(4, 7, 8)","('animal5', 'animal8', 'animal9')",3.63273975381162e-05
188,"(2, 5, 7)","('animal3', 'animal6', 'animal8')",3.466408816166222e-05
185,"(2, 4, 9)","('animal3', 'animal5', 'animal10')",3.42066450684797e-05
235,"(4, 5, 5)","('animal5', 'animal6', 'animal6')",3.393173756194301e-05
183,"(2, 4, 7)","('animal3', 'animal5', 'animal8')",3.2934785849647596e-05
189,"(2, 5, 8)","('animal3', 'animal6', 'animal9')",3.290465610916726e-05
243,"(4, 6, 9)","('animal5', 'animal7', 'animal10')",3.271932291681878e-05
258,"(5, 6, 9)","('animal6', 'animal7', 'animal10')",3.239381840103306e-05
193,"(2, 6, 8)","('animal3', 'animal7', 'animal9')",3.137192834401503e-05
184,"(2, 4, 8)","('animal3', 'animal5', 'animal9')",3.117581582046114e-05
230,"(4, 4, 5)","('animal5', 'animal5', 'animal6')",3.0949559004511684e-05
263,"(5, 8, 9)","('animal6', 'animal9', 'animal10')",3.0820203392067924e-05
256,"(5, 6, 7)","('animal6', 'animal7', 'animal8')",2.8949878469575197e-05
248,"(4, 8, 9)","('animal5', 'animal9', 'animal10')",2.8455933716031723e-05
241,"(4, 6, 7)","('animal5', 'animal7', 'animal8')",2.550017052271869e-05
250,"(5, 5, 5)","('animal6', 'animal6', 'animal6')",2.5199038645951077e-05
187,"(2, 5, 6)","('animal3', 'animal6', 'animal7')",2.0332012354629114e-05
257,"(5, 6, 8)","('animal6', 'animal7', 'animal9')",1.9555593098630197e-05
229,"(4, 4, 4)","('animal5', 'animal5', 'animal5')",1.7964686776394956e-05
239,"(4, 5, 9)","('animal5', 'animal6', 'animal10')",1.788323061191477e-05
182,"(2, 4, 6)","('animal3', 'animal5', 'animal7')",1.766736932040658e-05
237,"(4, 5, 7)","('animal5', 'animal6', 'animal8')",1.7022224710672162e-05
242,"(4, 6, 8)","('animal5', 'animal7', 'animal9')",1.645800148253329e-05
238,"(4, 5, 8)","('animal5', 'animal6', 'animal9')",1.576894828758668e-05
181,"(2, 4, 5)","('animal3', 'animal5', 'animal6')",1.4406704394787084e-05
236,"(4, 5, 6)","('animal5', 'animal6', 'animal7')",9.763495654624421e-06
