,TC Index,TC Variables,TC Value
0,"(0,)","('animal1',)",0.10701775550842285
1,"(1,)","('animal2',)",0.06942588835954666
3,"(3,)","('animal4',)",0.06215427815914154
7,"(7,)","('animal8',)",0.030234823003411293
9,"(9,)","('animal10',)",0.028988076373934746
8,"(8,)","('animal9',)",0.02632390893995762
11,"(0, 1)","('animal1', 'animal2')",0.02494180016219616
2,"(2,)","('animal3',)",0.023187490180134773
13,"(0, 3)","('animal1', 'animal4')",0.02234313078224659
10,"(0, 0)","('animal1', 'animal1')",0.01903839409351349
22,"(1, 3)","('animal2', 'animal4')",0.01773306541144848
6,"(6,)","('animal7',)",0.017333168536424637
5,"(5,)","('animal6',)",0.01268519926816225
4,"(4,)","('animal5',)",0.01224235724657774
20,"(1, 1)","('animal2', 'animal2')",0.011280316859483719
17,"(0, 7)","('animal1', 'animal8')",0.010305122472345829
19,"(0, 9)","('animal1', 'animal10')",0.009988783858716488
68,"(0, 0, 3)","('animal1', 'animal1', 'animal4')",0.009779168292880058
66,"(0, 0, 1)","('animal1', 'animal1', 'animal2')",0.00923201721161604
18,"(0, 8)","('animal1', 'animal9')",0.0092313252389431
12,"(0, 2)","('animal1', 'animal3')",0.008763844147324562
37,"(3, 3)","('animal4', 'animal4')",0.008671886287629604
27,"(1, 8)","('animal2', 'animal9')",0.008191232569515705
75,"(0, 1, 1)","('animal1', 'animal2', 'animal2')",0.007662075571715832
26,"(1, 7)","('animal2', 'animal8')",0.006952867843210697
65,"(0, 0, 0)","('animal1', 'animal1', 'animal1')",0.006611127872020006
42,"(3, 8)","('animal4', 'animal9')",0.006590398494154215
21,"(1, 2)","('animal2', 'animal3')",0.006503256503492594
92,"(0, 3, 3)","('animal1', 'animal4', 'animal4')",0.006425885017961264
30,"(2, 3)","('animal3', 'animal4')",0.00611693924292922
74,"(0, 0, 9)","('animal1', 'animal1', 'animal10')",0.0060060336254537106
41,"(3, 7)","('animal4', 'animal8')",0.005964616313576698
43,"(3, 9)","('animal4', 'animal10')",0.005514361429959536
122,"(1, 1, 3)","('animal2', 'animal2', 'animal4')",0.005481285508722067
28,"(1, 9)","('animal2', 'animal10')",0.005439535714685917
72,"(0, 0, 7)","('animal1', 'animal1', 'animal8')",0.0052162883803248405
16,"(0, 6)","('animal1', 'animal7')",0.005174517165869474
14,"(0, 4)","('animal1', 'animal5')",0.004659112077206373
137,"(1, 3, 3)","('animal2', 'animal4', 'animal4')",0.004484957084059715
15,"(0, 5)","('animal1', 'animal6')",0.0041335090063512325
67,"(0, 0, 2)","('animal1', 'animal1', 'animal3')",0.0037890390958637
71,"(0, 0, 6)","('animal1', 'animal1', 'animal7')",0.0034047653898596764
73,"(0, 0, 8)","('animal1', 'animal1', 'animal9')",0.003373538376763463
23,"(1, 4)","('animal2', 'animal5')",0.003208169946447015
24,"(1, 5)","('animal2', 'animal6')",0.0029917359352111816
40,"(3, 6)","('animal4', 'animal7')",0.0029783619102090597
25,"(1, 6)","('animal2', 'animal7')",0.0029603512957692146
127,"(1, 1, 8)","('animal2', 'animal2', 'animal9')",0.0028356879483908415
38,"(3, 4)","('animal4', 'animal5')",0.0028032974805682898
61,"(7, 9)","('animal8', 'animal10')",0.0027800342068076134
60,"(7, 8)","('animal8', 'animal9')",0.002713709371164441
120,"(1, 1, 1)","('animal2', 'animal2', 'animal2')",0.002562669338658452
39,"(3, 5)","('animal4', 'animal6')",0.002448132960125804
35,"(2, 8)","('animal3', 'animal9')",0.0023564929142594337
34,"(2, 7)","('animal3', 'animal8')",0.0023091956973075867
36,"(2, 9)","('animal3', 'animal10')",0.002217810833826661
126,"(1, 1, 7)","('animal2', 'animal2', 'animal8')",0.0022165824193507433
