,TC Index,TC Variables,TC Value
58,"(6, 9)","('animal7', 'animal10')",5.419011905871685e-10
114,"(0, 7, 7)","('animal1', 'animal8', 'animal8')",5.25650134530764e-10
56,"(6, 7)","('animal7', 'animal8')",5.180046391828341e-10
57,"(6, 8)","('animal7', 'animal9')",5.131854940998437e-10
203,"(3, 3, 5)","('animal4', 'animal4', 'animal6')",5.060130647827066e-10
99,"(0, 4, 4)","('animal1', 'animal5', 'animal5')",4.912448781091427e-10
123,"(1, 1, 4)","('animal2', 'animal2', 'animal5')",4.698731959074109e-10
76,"(0, 1, 2)","('animal1', 'animal2', 'animal3')",4.644450379842624e-10
119,"(0, 9, 9)","('animal1', 'animal10', 'animal10')",4.384004270718833e-10
162,"(1, 8, 8)","('animal2', 'animal9', 'animal9')",4.305846512675515e-10
97,"(0, 3, 8)","('animal1', 'animal4', 'animal9')",4.253328800274403e-10
82,"(0, 1, 8)","('animal1', 'animal2', 'animal9')",4.2506567710098864e-10
226,"(3, 8, 8)","('animal4', 'animal9', 'animal9')",4.1938028050303444e-10
124,"(1, 1, 5)","('animal2', 'animal2', 'animal6')",4.190113533919515e-10
50,"(5, 5)","('animal6', 'animal6')",4.064748537757623e-10
96,"(0, 3, 7)","('animal1', 'animal4', 'animal8')",3.760567968136286e-10
81,"(0, 1, 7)","('animal1', 'animal2', 'animal8')",3.6704964068157153e-10
204,"(3, 3, 6)","('animal4', 'animal4', 'animal7')",3.5247532670368287e-10
46,"(4, 6)","('animal5', 'animal7')",3.4091873768460346e-10
172,"(2, 2, 9)","('animal3', 'animal3', 'animal10')",3.3122654619077707e-10
167,"(2, 2, 4)","('animal3', 'animal3', 'animal5')",3.1701338776279897e-10
171,"(2, 2, 8)","('animal3', 'animal3', 'animal9')",3.1606858796884296e-10
228,"(3, 9, 9)","('animal4', 'animal10', 'animal10')",3.128539372010408e-10
93,"(0, 3, 4)","('animal1', 'animal4', 'animal5')",3.1150307333582816e-10
98,"(0, 3, 9)","('animal1', 'animal4', 'animal10')",3.0843924636592135e-10
105,"(0, 5, 5)","('animal1', 'animal6', 'animal6')",3.0511168591651483e-10
130,"(1, 2, 3)","('animal2', 'animal3', 'animal4')",3.029181627756117e-10
159,"(1, 7, 7)","('animal2', 'animal8', 'animal8')",3.0193125777344676e-10
223,"(3, 7, 7)","('animal4', 'animal8', 'animal8')",2.998815640253838e-10
165,"(2, 2, 2)","('animal3', 'animal3', 'animal3')",2.9425434311391996e-10
170,"(2, 2, 7)","('animal3', 'animal3', 'animal8')",2.7814289760286215e-10
51,"(5, 6)","('animal6', 'animal7')",2.772772289549863e-10
142,"(1, 3, 8)","('animal2', 'animal4', 'animal9')",2.7629062926415315e-10
78,"(0, 1, 4)","('animal1', 'animal2', 'animal5')",2.7314378536758e-10
125,"(1, 1, 6)","('animal2', 'animal2', 'animal7')",2.6821730947368394e-10
208,"(3, 4, 4)","('animal4', 'animal5', 'animal5')",2.6380617135224327e-10
94,"(0, 3, 5)","('animal1', 'animal4', 'animal6')",2.615230809688285e-10
83,"(0, 1, 9)","('animal1', 'animal2', 'animal10')",2.604383653181941e-10
90,"(0, 2, 8)","('animal1', 'animal3', 'animal9')",2.498889151159034e-10
168,"(2, 2, 5)","('animal3', 'animal3', 'animal6')",2.3765478474047086e-10
141,"(1, 3, 7)","('animal2', 'animal4', 'animal8')",2.350884487078986e-10
198,"(2, 8, 8)","('animal3', 'animal9', 'animal9')",2.2834104052016357e-10
79,"(0, 1, 5)","('animal1', 'animal2', 'animal6')",2.280031441426189e-10
86,"(0, 2, 4)","('animal1', 'animal3', 'animal5')",2.2790347387058318e-10
89,"(0, 2, 7)","('animal1', 'animal3', 'animal8')",2.1332711985788677e-10
144,"(1, 4, 4)","('animal2', 'animal5', 'animal5')",2.0703709580072172e-10
164,"(1, 9, 9)","('animal2', 'animal10', 'animal10')",2.0322322991095376e-10
180,"(2, 4, 4)","('animal3', 'animal5', 'animal5')",1.9961829411663246e-10
200,"(2, 9, 9)","('animal3', 'animal10', 'animal10')",1.8849505289963986e-10
115,"(0, 7, 8)","('animal1', 'animal8', 'animal9')",1.8788573474814996e-10
87,"(0, 2, 5)","('animal1', 'animal3', 'animal6')",1.7632033333381258e-10
91,"(0, 2, 9)","('animal1', 'animal3', 'animal10')",1.747692823794722e-10
278,"(7, 8, 8)","('animal8', 'animal9', 'animal9')",1.7453369305364674e-10
103,"(0, 4, 8)","('animal1', 'animal5', 'animal9')",1.7300158527966403e-10
55,"(6, 6)","('animal7', 'animal7')",1.7265401608401731e-10
143,"(1, 3, 9)","('animal2', 'animal4', 'animal10')",1.6768422761437307e-10
276,"(7, 7, 8)","('animal8', 'animal8', 'animal9')",1.6333780161748024e-10
195,"(2, 7, 7)","('animal3', 'animal8', 'animal8')",1.6307095951351158e-10
214,"(3, 5, 5)","('animal4', 'animal6', 'animal6')",1.5908119266327958e-10
138,"(1, 3, 4)","('animal2', 'animal4', 'animal5')",1.5713674805795108e-10
179,"(2, 3, 9)","('animal3', 'animal4', 'animal10')",1.565603341413535e-10
178,"(2, 3, 8)","('animal3', 'animal4', 'animal9')",1.5287698884591805e-10
247,"(4, 8, 8)","('animal5', 'animal9', 'animal9')",1.4948145499182885e-10
233,"(4, 4, 8)","('animal5', 'animal5', 'animal9')",1.4197365505452808e-10
95,"(0, 3, 6)","('animal1', 'animal4', 'animal7')",1.399313998007301e-10
174,"(2, 3, 4)","('animal3', 'animal4', 'animal5')",1.378185898737172e-10
102,"(0, 4, 7)","('animal1', 'animal5', 'animal8')",1.3734038906143553e-10
177,"(2, 3, 7)","('animal3', 'animal4', 'animal8')",1.348574169002248e-10
150,"(1, 5, 5)","('animal2', 'animal6', 'animal6')",1.323745280057409e-10
108,"(0, 5, 8)","('animal1', 'animal6', 'animal9')",1.321821818667246e-10
139,"(1, 3, 5)","('animal2', 'animal4', 'animal6')",1.319543502242837e-10
135,"(1, 2, 8)","('animal2', 'animal3', 'animal9')",1.3075251992233916e-10
262,"(5, 8, 8)","('animal6', 'animal9', 'animal9')",1.2142999106234953e-10
116,"(0, 7, 9)","('animal1', 'animal8', 'animal10')",1.1978174008220321e-10
80,"(0, 1, 6)","('animal1', 'animal2', 'animal7')",1.18517279323882e-10
110,"(0, 6, 6)","('animal1', 'animal7', 'animal7')",1.182331038629414e-10
160,"(1, 7, 8)","('animal2', 'animal8', 'animal9')",1.1792200549365361e-10
169,"(2, 2, 6)","('animal3', 'animal3', 'animal7')",1.172707625451963e-10
186,"(2, 5, 5)","('animal3', 'animal6', 'animal6')",1.1718256920367764e-10
100,"(0, 4, 5)","('animal1', 'animal5', 'animal6')",1.1470025623738778e-10
224,"(3, 7, 8)","('animal4', 'animal8', 'animal9')",1.133351537618843e-10
280,"(7, 9, 9)","('animal8', 'animal10', 'animal10')",1.1141176176066026e-10
118,"(0, 8, 9)","('animal1', 'animal9', 'animal10')",1.1067242261519894e-10
175,"(2, 3, 5)","('animal3', 'animal4', 'animal6')",1.080202108316719e-10
232,"(4, 4, 7)","('animal5', 'animal5', 'animal8')",1.0798541921763771e-10
107,"(0, 5, 7)","('animal1', 'animal6', 'animal8')",1.0738004235788523e-10
134,"(1, 2, 7)","('animal2', 'animal3', 'animal8')",1.0737086220125036e-10
277,"(7, 7, 9)","('animal8', 'animal8', 'animal10')",1.0641355158158561e-10
244,"(4, 7, 7)","('animal5', 'animal8', 'animal8')",1.0187598681321575e-10
