,TC Index,TC Variables,TC Value
226,"(3, 8, 8)","('animal4', 'animal9', 'animal9')",0.00044003070797771215
123,"(1, 1, 4)","('animal2', 'animal2', 'animal5')",0.0004251948557794094
159,"(1, 7, 7)","('animal2', 'animal8', 'animal8')",0.00042274664156138897
81,"(0, 1, 7)","('animal1', 'animal2', 'animal8')",0.0004158745869062841
228,"(3, 9, 9)","('animal4', 'animal10', 'animal10')",0.00040298563544638455
223,"(3, 7, 7)","('animal4', 'animal8', 'animal8')",0.0003897477581631392
96,"(0, 3, 7)","('animal1', 'animal4', 'animal8')",0.0003892107051797211
166,"(2, 2, 3)","('animal3', 'animal3', 'animal4')",0.0003792226198129356
98,"(0, 3, 9)","('animal1', 'animal4', 'animal10')",0.0003787886234931648
97,"(0, 3, 8)","('animal1', 'animal4', 'animal9')",0.0003736631479114294
55,"(6, 6)","('animal7', 'animal7')",0.0003614377055782825
203,"(3, 3, 5)","('animal4', 'animal4', 'animal6')",0.00035917264176532626
76,"(0, 1, 2)","('animal1', 'animal2', 'animal3')",0.0003533285635057837
142,"(1, 3, 8)","('animal2', 'animal4', 'animal9')",0.00035273240064270794
129,"(1, 2, 2)","('animal2', 'animal3', 'animal3')",0.0003505470813252032
51,"(5, 6)","('animal6', 'animal7')",0.00033840248943306506
83,"(0, 1, 9)","('animal1', 'animal2', 'animal10')",0.00033757020719349384
85,"(0, 2, 3)","('animal1', 'animal3', 'animal4')",0.00033402047120034695
46,"(4, 6)","('animal5', 'animal7')",0.0003301938413642347
202,"(3, 3, 4)","('animal4', 'animal4', 'animal5')",0.0003262243699282408
110,"(0, 6, 6)","('animal1', 'animal7', 'animal7')",0.00031151348957791924
164,"(1, 9, 9)","('animal2', 'animal10', 'animal10')",0.0003061858587898314
141,"(1, 3, 7)","('animal2', 'animal4', 'animal8')",0.0002804975665640086
45,"(4, 5)","('animal5', 'animal6')",0.0002766117104329169
280,"(7, 9, 9)","('animal8', 'animal10', 'animal10')",0.00024300273798871785
130,"(1, 2, 3)","('animal2', 'animal3', 'animal4')",0.0002331926953047514
116,"(0, 7, 9)","('animal1', 'animal8', 'animal10')",0.0002236976142739877
95,"(0, 3, 6)","('animal1', 'animal4', 'animal7')",0.0002225457865279168
277,"(7, 7, 9)","('animal8', 'animal8', 'animal10')",0.0002154062531189993
44,"(4, 4)","('animal5', 'animal5')",0.00021149893291294575
143,"(1, 3, 9)","('animal2', 'animal4', 'animal10')",0.00020658178254961967
80,"(0, 1, 6)","('animal1', 'animal2', 'animal7')",0.00020044065604452044
79,"(0, 1, 5)","('animal1', 'animal2', 'animal6')",0.00019688429892994463
50,"(5, 5)","('animal6', 'animal6')",0.00018432963406667113
278,"(7, 8, 8)","('animal8', 'animal9', 'animal9')",0.00018079837900586426
200,"(2, 9, 9)","('animal3', 'animal10', 'animal10')",0.00017429103900212795
276,"(7, 7, 8)","('animal8', 'animal8', 'animal9')",0.000174013533978723
274,"(6, 9, 9)","('animal7', 'animal10', 'animal10')",0.00017321802442893386
94,"(0, 3, 5)","('animal1', 'animal4', 'animal6')",0.0001698028645478189
172,"(2, 2, 9)","('animal3', 'animal3', 'animal10')",0.00016815772687550634
115,"(0, 7, 8)","('animal1', 'animal8', 'animal9')",0.0001638609974179417
93,"(0, 3, 4)","('animal1', 'animal4', 'animal5')",0.00016129812865983695
78,"(0, 1, 4)","('animal1', 'animal2', 'animal5')",0.00016067865362856537
219,"(3, 6, 6)","('animal4', 'animal7', 'animal7')",0.00016010295075830072
91,"(0, 2, 9)","('animal1', 'animal3', 'animal10')",0.00015624785737600178
105,"(0, 5, 5)","('animal1', 'animal6', 'animal6')",0.000155649206135422
113,"(0, 6, 9)","('animal1', 'animal7', 'animal10')",0.00014911046309862286
89,"(0, 2, 7)","('animal1', 'animal3', 'animal8')",0.0001445611851522699
195,"(2, 7, 7)","('animal3', 'animal8', 'animal8')",0.0001420252228854224
160,"(1, 7, 8)","('animal2', 'animal8', 'animal9')",0.0001420111657353118
140,"(1, 3, 6)","('animal2', 'animal4', 'animal7')",0.00013856547593604773
170,"(2, 2, 7)","('animal3', 'animal3', 'animal8')",0.00013480502821039408
99,"(0, 4, 4)","('animal1', 'animal5', 'animal5')",0.00013348272477742285
155,"(1, 6, 6)","('animal2', 'animal7', 'animal7')",0.0001324104960076511
198,"(2, 8, 8)","('animal3', 'animal9', 'animal9')",0.00013230275362730026
139,"(1, 3, 5)","('animal2', 'animal4', 'animal6')",0.00013198560918681324
171,"(2, 2, 8)","('animal3', 'animal3', 'animal9')",0.00013055605813860893
90,"(0, 2, 8)","('animal1', 'animal3', 'animal9')",0.0001289315550820902
118,"(0, 8, 9)","('animal1', 'animal9', 'animal10')",0.0001255122188013047
111,"(0, 6, 7)","('animal1', 'animal7', 'animal8')",0.00012461532605811954
269,"(6, 7, 7)","('animal7', 'animal8', 'animal8')",0.0001228688342962414
150,"(1, 5, 5)","('animal2', 'animal6', 'animal6')",0.00011649613588815555
283,"(8, 9, 9)","('animal9', 'animal10', 'animal10')",0.00011545850429683924
284,"(9, 9, 9)","('animal10', 'animal10', 'animal10')",0.0001143406261689961
224,"(3, 7, 8)","('animal4', 'animal8', 'animal9')",0.00011236598220421001
138,"(1, 3, 4)","('animal2', 'animal4', 'animal5')",0.00011140922288177535
268,"(6, 6, 9)","('animal7', 'animal7', 'animal10')",0.00011031963367713615
282,"(8, 8, 9)","('animal9', 'animal9', 'animal10')",0.00010857837332878262
135,"(1, 2, 8)","('animal2', 'animal3', 'animal9')",0.00010721581929828972
225,"(3, 7, 9)","('animal4', 'animal8', 'animal10')",0.00010692826617741957
134,"(1, 2, 7)","('animal2', 'animal3', 'animal8')",9.787234012037516e-05
161,"(1, 7, 9)","('animal2', 'animal8', 'animal10')",9.672078158473596e-05
179,"(2, 3, 9)","('animal3', 'animal4', 'animal10')",9.40328391152434e-05
214,"(3, 5, 5)","('animal4', 'animal6', 'animal6')",9.153124847216532e-05
163,"(1, 8, 9)","('animal2', 'animal9', 'animal10')",8.903059642761946e-05
266,"(6, 6, 7)","('animal7', 'animal7', 'animal8')",8.898771193344146e-05
178,"(2, 3, 8)","('animal3', 'animal4', 'animal9')",8.894057828001678e-05
249,"(4, 9, 9)","('animal5', 'animal10', 'animal10')",8.880402310751379e-05
165,"(2, 2, 2)","('animal3', 'animal3', 'animal3')",8.723420614842325e-05
275,"(7, 7, 7)","('animal8', 'animal8', 'animal8')",8.633596735307947e-05
177,"(2, 3, 7)","('animal3', 'animal4', 'animal8')",8.568711200496182e-05
104,"(0, 4, 9)","('animal1', 'animal5', 'animal10')",8.420489029958844e-05
88,"(0, 2, 6)","('animal1', 'animal3', 'animal7')",8.3073005953338e-05
136,"(1, 2, 9)","('animal2', 'animal3', 'animal10')",8.255215652752668e-05
281,"(8, 8, 8)","('animal9', 'animal9', 'animal9')",8.143032027874142e-05
107,"(0, 5, 7)","('animal1', 'animal6', 'animal8')",8.06698008091189e-05
109,"(0, 5, 9)","('animal1', 'animal6', 'animal10')",7.939483475638554e-05
208,"(3, 4, 4)","('animal4', 'animal5', 'animal5')",7.893387373769656e-05
262,"(5, 8, 8)","('animal6', 'animal9', 'animal9')",7.882100180722773e-05
144,"(1, 4, 4)","('animal2', 'animal5', 'animal5')",7.878364704083651e-05
227,"(3, 8, 9)","('animal4', 'animal9', 'animal10')",7.81372727942653e-05
169,"(2, 2, 6)","('animal3', 'animal3', 'animal7')",7.678336260141805e-05
264,"(5, 9, 9)","('animal6', 'animal10', 'animal10')",7.659570837859064e-05
259,"(5, 7, 7)","('animal6', 'animal8', 'animal8')",7.577653741464019e-05
102,"(0, 4, 7)","('animal1', 'animal5', 'animal8')",7.452989666489884e-05
112,"(0, 6, 8)","('animal1', 'animal7', 'animal9')",7.428394019370899e-05
272,"(6, 8, 8)","('animal7', 'animal9', 'animal9')",7.416255539283156e-05
108,"(0, 5, 8)","('animal1', 'animal6', 'animal9')",7.197691593319178e-05
222,"(3, 6, 9)","('animal4', 'animal7', 'animal10')",7.093132444424555e-05
244,"(4, 7, 7)","('animal5', 'animal8', 'animal8')",6.887678318889812e-05
