,TC Index,TC Variables,TC Value
0,"(0,)","('animal1',)",0.07074857503175735
3,"(3,)","('animal4',)",0.045886456966400146
1,"(1,)","('animal2',)",0.038671962916851044
9,"(9,)","('animal10',)",0.02117270976305008
13,"(0, 3)","('animal1', 'animal4')",0.018590107560157776
2,"(2,)","('animal3',)",0.018292175605893135
7,"(7,)","('animal8',)",0.017988868057727814
11,"(0, 1)","('animal1', 'animal2')",0.014894568361341953
8,"(8,)","('animal9',)",0.014590148814022541
10,"(0, 0)","('animal1', 'animal1')",0.014488114975392818
6,"(6,)","('animal7',)",0.011972473002970219
22,"(1, 3)","('animal2', 'animal4')",0.009982040151953697
19,"(0, 9)","('animal1', 'animal10')",0.008766433224081993
5,"(5,)","('animal6',)",0.007906372658908367
68,"(0, 0, 3)","('animal1', 'animal1', 'animal4')",0.007561494130641222
12,"(0, 2)","('animal1', 'animal3')",0.007375985383987427
4,"(4,)","('animal5',)",0.007081928662955761
17,"(0, 7)","('animal1', 'animal8')",0.0069778296165168285
37,"(3, 3)","('animal4', 'animal4')",0.006691172253340483
20,"(1, 1)","('animal2', 'animal2')",0.005847069434821606
43,"(3, 9)","('animal4', 'animal10')",0.005600858945399523
66,"(0, 0, 1)","('animal1', 'animal1', 'animal2')",0.005484310910105705
18,"(0, 8)","('animal1', 'animal9')",0.0054361759684979916
92,"(0, 3, 3)","('animal1', 'animal4', 'animal4')",0.005287789274007082
30,"(2, 3)","('animal3', 'animal4')",0.004728490952402353
41,"(3, 7)","('animal4', 'animal8')",0.004624514374881983
65,"(0, 0, 0)","('animal1', 'animal1', 'animal1')",0.0045931232161819935
74,"(0, 0, 9)","('animal1', 'animal1', 'animal10')",0.004416360054165125
16,"(0, 6)","('animal1', 'animal7')",0.004408993758261204
27,"(1, 8)","('animal2', 'animal9')",0.004267935641109943
75,"(0, 1, 1)","('animal1', 'animal2', 'animal2')",0.004176443908363581
26,"(1, 7)","('animal2', 'animal8')",0.00413080770522356
21,"(1, 2)","('animal2', 'animal3')",0.0037950046826153994
42,"(3, 8)","('animal4', 'animal9')",0.0037631893064826727
28,"(1, 9)","('animal2', 'animal10')",0.003719063475728035
72,"(0, 0, 7)","('animal1', 'animal1', 'animal8')",0.0033185863867402077
67,"(0, 0, 2)","('animal1', 'animal1', 'animal3')",0.003055969253182411
40,"(3, 6)","('animal4', 'animal7')",0.003055479610338807
14,"(0, 4)","('animal1', 'animal5')",0.0029830471612513065
122,"(1, 1, 3)","('animal2', 'animal2', 'animal4')",0.002922438085079193
15,"(0, 5)","('animal1', 'animal6')",0.0028963922522962093
137,"(1, 3, 3)","('animal2', 'animal4', 'animal4')",0.0026876339688897133
71,"(0, 0, 6)","('animal1', 'animal1', 'animal7')",0.0024434418883174658
36,"(2, 9)","('animal3', 'animal10')",0.0023167594335973263
61,"(7, 9)","('animal8', 'animal10')",0.0021070134826004505
25,"(1, 6)","('animal2', 'animal7')",0.0019958317279815674
73,"(0, 0, 8)","('animal1', 'animal1', 'animal9')",0.0019462681375443935
38,"(3, 4)","('animal4', 'animal5')",0.0019052675925195217
39,"(3, 5)","('animal4', 'animal6')",0.0018653598381206393
23,"(1, 4)","('animal2', 'animal5')",0.0018463324522599578
34,"(2, 7)","('animal3', 'animal8')",0.001810320420190692
